,,,,,,,,,,,,,
JanuaryI,February,March.,April.,May.,June.,July.,August.,September.I,October.,November.,December.I,Unknown.,
25,29,29,28,21,20,22,38,37,27,32,21,,315
139,173,174,142,149,132,166,171,132,131,148,163,,316
48,48,53,43,46,33,44,47,48,52,61,42,,317
59,67,65,49,57,35,60,81,55,51,58,38,,318
86,76,75,59,58,54,63,49,58,71,58,70,,319
,,16,17,12,12,9,14,15,10,17,,,320
202,181,182,184,185,144,181,197,198,169,153,144,,321
22,10,21,15,20,11,24,26,16,11,10,19,,322
16,20,22,25,18,16,,15,15,18,17,16,,323
135,124,125,113,104,73,160,120,115,99,131,114,,324
161,162,172,159,127,126,154,124,105,91,135,125,,325
,,,,23,34,21,21,34,23,30,29,,326
,80,82,85,97,85,93,114,117,93,111,117,,327
,,,12,15,5,14,12,5,,,11,,828
10,21,18,17,18,18,13,17,16,21,14,27,,329
,,10,5,14,,7,6,9,7,8,9,,330
,18,17,12,13,,9,12,10,9,11,10,,331
,,,,9,,13,,,8,8,12,,332
,30,,,29,29,27,36,26,21,28,37,2,333
,8,16,,8,,9,16,16,10,8,8,,334
567,551,580,549,423,474,582,535,412,481,503,544,,335
,14,14,10,,13,,,11,13,9,12,,336
,68,104,59,75,69,137,87,74,61,68,72,,337
,38,32,31,32,25,20,46,31,38,26,26,,338
,17,21,14,12,6,9,7,12,10,6,9,,339
,18,29,32,19,",22",26,24,20,15,32,22,,340
,,15,12,12,8,15,9,,12,18,13,,341
,,29,18,14,12,19,21,,11,17,14,,342
,,8,12,11,11,8,28,13,19,10,11,,343
60,57,54,52,46,42,53,48,34,53,58,72,,344
53,46,,40,28,42,46,41,43,41,42,38,,345
44,40,30,40,35,34,47,59,47,30,38,36,,346
124,121,102,104,107,113,158,124,112,110,103,110,,347
38,34,41,37,36,50,50,52,57,57,33,50,,348
,,26,19,22,13,25,,15,14,12,17,,349
,,30,17,17,19,18,,21,12,,18,,350
,,14,16,18,9,10,18,20,19,29,20,,351
,,43,43,32,38,53,56,33,40,36,40,,352
192,197,197,197,189,168,217,226,177,179,163,164,,353
,,109,83,76,77,120,96,64,84,75,56,,354
,,93,86,83,81,106,82,75,78,74,63,,355
,,72,,,54,60,,,,,53,1,356
,,105,,,76,121,,,,,,,357
,,,,,62,66,,,,,65,,358
,,38,,,25,35,,20,,,26,,359
,,,,,,,,,,,,,
,,,,,,,,,,,68,,360
,,,,,,,,,,,47,3,361
,,,,,,,,,,,,,362
,,55,,,,,,49,46,,56,,363
,,,,,,,,,,,,,
,,,,,,,18,,,,17,,364
,,,,,,,20,,,,18,,365
,,,,,,,,,,,18,,366
,,,,,,,,,,,11,,367
,,,13,,,,34,,16,13,15,,368
27,,,28,1610,15,28,26,196,24,31,245,,369370
,,,,,14,10,29,18,18,,14,,371
,,,,,,15,19,,16,,17,,372
,,,,,25,27,23,22,20,,17,,373
,,,,,,,,,,,,,
,,,,30,16,42,44,,,,32,,374
,,,,,32,40,41,,,,42,,375
,,,,11,15,14,19,15,,,8,,376
,,,,18,15,26,25,32,,,22,,377
,,,,21,21,18,17,34,,,25,,378
,,,19,25,,,,,,,12,,379
,,,,14,,,,,,,,,380
,,,,16,,,,,,,,,381
,,,,20,,,,18,,,,,382
,,,26,34,,,37,34,,24,31,,383
,,,,12,,,,16,18,13,247,,384385
,,,,13,,,,,,,20,,386
,,,,,,,,,,,19,1,387
,,,,29,,,,,,18,15,,388

